timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ,magX,magY,magZ
1391562105.75,0.275,0.1352,0.0774,0.2276,0.3322,0.819,1.0929264909847434,-1.0485436893203883,0.840499306518724
1391562105.76,0.2642,0.1816,0.0652,0.2342,0.3344,0.819,1.0929264909847434,-1.0485436893203883,0.840499306518724
1391562105.76,0.249,0.232,0.0564,0.233,0.3482,0.8188,1.1067961165048543,-1.0180305131761442,0.8488210818307905
1391562105.77,0.2246,0.2806,0.0516,0.2362,0.3708,0.819,1.1067961165048543,-1.0180305131761442,0.8488210818307905
1391562105.77,0.1882,0.3194,0.0496,0.2532,0.3896,0.819,1.1095700416088765,-1.0346740638002774,0.8876560332871013
1391562105.78,0.1442,0.3448,0.05,0.2794,0.3966,0.8188,1.1095700416088765,-1.0346740638002774,0.8876560332871013
1391562105.79,0.1006,0.3552,0.0536,0.3056,0.3944,0.819,1.1095700416088765,-1.0346740638002774,0.8876560332871013
1391562105.79,0.0778,0.365,0.0608,0.3294,0.3918,0.819,1.087378640776699,-0.9680998613037448,0.9292649098474342
1391562105.8,0.0614,0.374,0.0654,0.3466,0.3878,0.819,1.087378640776699,-0.9680998613037448,0.9292649098474342
1391562105.8,0.076,0.388,0.0702,0.3452,0.3842,0.819,1.1123439667128987,-0.9653259361997226,0.9375866851595007
1391562105.82,0.2002,0.4346,0.0706,0.298,0.393,0.819,1.1373092926490984,-0.926490984743412,0.957004160887656
1391562105.83,0.3784,0.4838,0.0676,0.2358,0.3992,0.819,1.1927877947295422,-0.9181692094313454,0.9403606102635229
1391562105.83,0.4566,0.5044,0.0652,0.214,0.395,0.819,1.1927877947295422,-0.9181692094313454,0.9403606102635229
1391562105.84,0.5156,0.5246,0.0586,0.2038,0.3858,0.819,1.259361997226075,-0.8488210818307905,0.9431345353675451
1391562105.85,0.5534,0.548,0.046,0.17,0.402,0.819,1.259361997226075,-0.8488210818307905,0.9431345353675451
1391562105.85,0.5624,0.5922,0.006,0.1962,0.3568,0.819,1.259361997226075,-0.8488210818307905,0.9431345353675451
1391562105.86,0.5488,0.6294,-0.0388,0.229,0.306,0.819,1.2676837725381416,-0.8460471567267683,0.9042995839112344
1391562105.86,0.5286,0.6678,-0.0464,0.2366,0.3122,0.819,1.2676837725381416,-0.8460471567267683,0.9042995839112344
1391562105.88,0.4904,0.8098,-0.04,0.2082,0.3676,0.819,1.2760055478502081,-0.812760055478502,0.9431345353675451
1391562105.88,0.4642,0.8998,-0.0492,0.198,0.4626,0.819,1.3092926490984744,-0.7212205270457698,0.957004160887656
1391562105.89,0.3852,0.8008,-0.0272,0.3636,0.5752,0.819,1.3203883495145632,-0.6879334257975035,0.970873786407767
1391562105.9,0.4352,0.657,-0.0256,0.2724,0.5612,0.819,1.3203883495145632,-0.6879334257975035,0.970873786407767
1391562105.91,0.4712,0.5454,-0.0118,0.1716,0.5306,0.819,1.3203883495145632,-0.6879334257975035,0.970873786407767
1391562105.91,0.445,0.411,0.0078,0.181,0.453,0.819,1.348127600554785,-0.7018030513176144,0.9070735090152566
1391562105.92,0.2774,0.181,0.0002,0.296,0.2728,0.819,1.3370319001386963,-0.7212205270457698,0.912621359223301
1391562105.93,0.2166,0.133,-0.0082,0.3134,0.2596,0.819,1.3370319001386963,-0.7212205270457698,0.912621359223301
1391562105.94,0.1862,0.1264,-0.0088,0.3122,0.2974,0.819,1.3509015256588073,-0.7212205270457698,0.9098474341192788
1391562105.94,0.1808,0.1348,-0.006,0.3062,0.3388,0.819,1.3509015256588073,-0.7212205270457698,0.9098474341192788
1391562105.95,0.193,0.1426,-0.0018,0.2962,0.359,0.8188,1.3509015256588073,-0.7184466019417476,0.9181692094313454
1391562105.95,0.2164,0.146,0.0022,0.2782,0.3608,0.819,1.3509015256588073,-0.7184466019417476,0.9181692094313454
1391562105.96,0.2452,0.1442,0.0058,0.2488,0.3524,0.819,1.3814147018030514,-0.7045769764216366,0.8737864077669902
1391562105.97,0.271,0.1368,0.0104,0.2104,0.3432,0.819,1.3814147018030514,-0.7045769764216366,0.8737864077669902
1391562105.97,0.2832,0.1258,0.0148,0.1816,0.3366,0.819,1.3814147018030514,-0.7045769764216366,0.8737864077669902
1391562105.98,0.273,0.1164,0.0166,0.1734,0.3308,0.819,1.3952843273231623,-0.6879334257975035,0.8515950069348127
1391562105.98,0.238,0.111,0.0164,0.187,0.3294,0.819,1.3952843273231623,-0.6879334257975035,0.8515950069348127
1391562105.99,0.1808,0.1096,0.0142,0.2216,0.3308,0.819,1.406380027739251,-0.6990291262135923,0.8515950069348127
1391562106.0,0.1358,0.109,0.0128,0.2628,0.3272,0.819,1.406380027739251,-0.6990291262135923,0.8515950069348127
1391562106.0,0.0774,0.1028,0.0146,0.2776,0.3172,0.819,1.403606102635229,-0.6685159500693482,0.8682385575589459
1391562106.01,0.0498,0.0926,0.0214,0.244,0.2988,0.819,1.403606102635229,-0.6685159500693482,0.8682385575589459
1391562106.01,0.0394,0.0882,0.034,0.2288,0.3056,0.819,1.3980582524271845,-0.6796116504854369,0.9015256588072122
1391562106.02,0.0116,0.0932,0.0542,0.228,0.3204,0.819,1.3980582524271845,-0.6796116504854369,0.9015256588072122
1391562106.03,-0.0056,0.0996,0.0642,0.2308,0.3098,0.819,1.3980582524271845,-0.6796116504854369,0.9015256588072122
1391562106.03,-0.0188,0.1152,0.0614,0.2384,0.302,0.819,1.3980582524271845,-0.6796116504854369,0.9015256588072122
1391562106.04,-0.0322,0.1388,0.0596,0.2602,0.2956,0.819,1.3980582524271845,-0.6796116504854369,0.9015256588072122
1391562106.04,-0.0382,0.1694,0.0606,0.2978,0.2906,0.8188,1.3952843273231623,-0.6546463245492372,0.9237170596393898
1391562106.05,-0.0238,0.2132,0.057,0.2772,0.3072,0.819,1.3952843273231623,-0.6546463245492372,0.9237170596393898
1391562106.05,0.0164,0.265,0.053,0.2222,0.3498,0.819,1.4230235783633842,-0.6158113730929264,0.912621359223301
1391562106.06,0.07,0.304,0.0536,0.1712,0.3792,0.819,1.4230235783633842,-0.6158113730929264,0.912621359223301
1391562106.07,0.1134,0.323,0.0492,0.13,0.3844,0.819,1.4285714285714286,-0.5852981969486823,0.8876560332871013
1391562106.07,0.1346,0.3284,0.0342,0.1182,0.3748,0.819,1.4285714285714286,-0.5852981969486823,0.8876560332871013
1391562106.09,0.0574,0.3148,-0.0158,0.1834,0.353,0.819,1.4396671289875174,-0.6019417475728155,0.9098474341192788
1391562106.1,0.0188,0.3214,-0.0372,0.2262,0.3498,0.819,1.434119278779473,-0.5936199722607489,0.9320388349514563
1391562106.1,-0.0104,0.3472,-0.068,0.2734,0.3566,0.819,1.434119278779473,-0.5936199722607489,0.9320388349514563
1391562106.11,-0.0312,0.3762,-0.0938,0.3068,0.357,0.8188,1.4091539528432733,-0.5880721220527045,0.9680998613037448
1391562106.11,-0.0252,0.39,-0.1014,0.3142,0.3512,0.819,1.4091539528432733,-0.5880721220527045,0.9680998613037448
1391562106.12,0.0136,0.4016,-0.1104,0.3222,0.3506,0.819,1.4174757281553398,-0.5520110957004161,0.9486823855755895
1391562106.13,0.1114,0.4442,-0.1404,0.3648,0.3486,0.819,1.447988904299584,-0.5742024965325936,0.970873786407767
1391562106.14,0.1672,0.465,-0.136,0.374,0.3548,0.819,1.447988904299584,-0.5742024965325936,0.970873786407767
1391562106.14,0.2342,0.4912,-0.127,0.3698,0.362,0.819,1.4618585298196949,-0.5131761442441054,0.9042995839112344
1391562106.15,0.3114,0.5268,-0.1198,0.3578,0.3684,0.819,1.4618585298196949,-0.5131761442441054,0.9042995839112344
1391562106.16,0.3918,0.5718,-0.1162,0.3388,0.3738,0.819,1.4618585298196949,-0.5131761442441054,0.9042995839112344
