timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ,magX,magY,magZ
1386186008.03,0.4036,0.486,0.5652,0.187,-0.0304,0.027,-0.0272,0.122222222222,0.436111111111,1.34722222222
1386186008.04,0.4068,0.4786,0.5636,0.1984,-0.0226,0.037,-0.0272,0.122222222222,0.436111111111,1.34722222222
1386186008.04,0.4098,0.4718,0.5614,0.2094,-0.0148,0.0458,-0.0274,0.119444444444,0.425,1.36388888889
1386186008.05,0.41,0.4678,0.5584,0.2206,-0.0092,0.0514,-0.0274,0.119444444444,0.425,1.36388888889
1386186008.05,0.4116,0.4676,0.5576,0.2306,-0.0084,0.0558,-0.0268,0.127777777778,0.433333333333,1.38333333333
1386186008.06,0.4146,0.4694,0.5572,0.2382,-0.012,0.0586,-0.0268,0.127777777778,0.433333333333,1.38333333333
1386186008.07,0.416,0.4692,0.5538,0.2424,-0.0164,0.0604,-0.026,0.138888888889,0.413888888889,1.38333333333
1386186008.07,0.4126,0.4658,0.5474,0.2478,-0.023,0.0602,-0.026,0.138888888889,0.413888888889,1.38333333333
1386186008.08,0.438,0.4202,0.5828,0.2522,-0.0298,0.0576,-0.026,0.138888888889,0.413888888889,1.38333333333
1386186008.08,0.474,0.382,0.6184,0.25,-0.0464,0.0516,-0.0238,0.169444444444,0.397222222222,1.39166666667
1386186008.09,0.4622,0.449,0.572,0.2218,-0.0852,0.0352,-0.0238,0.169444444444,0.397222222222,1.39166666667
1386186008.11,0.3812,0.529,0.5454,0.0718,-0.1718,-0.0112,-0.0254,0.147222222222,0.394444444444,1.37222222222
1386186008.12,0.393,0.498,0.5234,0.0198,-0.147,-0.0134,-0.026,0.138888888889,0.375,1.35555555556
1386186008.12,0.393,0.5008,0.5232,0.0058,-0.1368,-0.0114,-0.026,0.138888888889,0.375,1.35555555556
1386186008.14,0.4032,0.5118,0.5396,-0.0142,-0.1196,-0.0012,-0.027,0.125,0.366666666667,1.35
1386186008.14,0.4064,0.5044,0.5386,-0.021,-0.1026,0.0022,-0.027,0.125,0.366666666667,1.35
